shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
a	a													частица обращения	a γas tarůd ya! девушка, подойди сюда! a vōrǰ, bêst! стой, лошадь! 	наиболее употребительные в качестве обращения слова обычно сокращаются, сливаясь с частицей a: a-rō, arōdā́r (<a virṓd, a virṓdar), a-δa (<a γiδā), a-čēn (<a bačēn)
ā	a													но, а	wúz-at Tulů́m-šō-yām sat tar bōγ sáyli, ā Qurbůn-šṓ na čēmt я и Гулям-шо пошли погулять в сад, а Курбон-шо не захотел; mā́š-am aráy yax: yīw dḗw-i sīyṓ mi-ðúst, yīw dḗwi zard mi-ðúst, ā yí-ga dḗwi safḗd ðúst-and нас три сестры: одна в руках черного дива, одна о руках желтого дива, а еще одна в руках белого дива; уат čūpů́n nūst paryā́, ā mā́ð-ēn x̌ōvd пастух сел караулить, а они заснули; mu am-radī́f ōda- mên-ēn γal ǰiwů́n, ū wúz-um pīr suǰ мои сверстники еще молоды, а я уже состарился	
a-čēn	a-čen													ребята (обращение)	a-čēn, mu vōrǰ-ēt wīnt? ребята, видели мою лошадь? a-čēn gā waxt ba ǰōyi a-rōdā́r mis lůven “a-čēn” говорят иногда также вместо “a-rōdā́r”; a-čēn, tíyēt tar sūr! ребята, идите на свадьбу! (= a-rōdā́r, tíyēt tar sūr!)	
a-lā	a-la													обращение	a-lā, tarůd ya! эй, иди сюда!	
a-lō	a-lo													обращение девушек или женщин друг к другу	"a-lō, ya kōr kinā́m! иди, девушка, будем работать! „a-lṓ“-ta bēx̌dí kaxōyḗn lů́vēn „a-lō"" большей частью употребляют женщины"	
a-rō	a-ro,a-rodar,a-rodar	a-rōdā́r										a-rōdā́r		обращение к равному	a-rōdā́r, tí- yēt xurṓk xīd! товарищи, идите обедать!	 (< a vrṓd)
a-δa	a-δa													друг, приятель, парень (обращение)	a-δa, saw, wi půst ažếr, sār tu pêxến ancā́m иди-ка, парень, намочи кожу, завтра я буду шить тебе сапоги.	
ābarōbár	abarobar													сразу же, тут же	mu vōrǰ ricū́st xu, wúz-um ābarōbár wi anǰū́vd моя лошадь убежала было, но я сразу же ее поймал	
abī́b	abib													название дикорастущего цветка	gulik abī́b, ca gul abī́b! цветочек “abī́b”, что за цветок “abī́b”!	(поэт.)
abī́n	abin,abinorj											abī́nōrǰ		жена человека, имеющего несколько жен (по отношению к его другим женам)	tamá-ta abī́nōrǰ dastū́r δêdêt вы ссоритесь, точно жены одного мужа; tund abī́n yast yō nāy? у твоего мужа есть еще жены?	
