shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
a	a												частица обращения	a γas tarůd ya! девушка, подойди сюда! a vōrǰ, bêst! стой, лошадь! 	наиболее употребительные в качестве обращения слова обычно сокращаются, сливаясь с частицей a: a-rō, arōdā́r (<a virṓd, a virṓdar), a-ða (<a γiðā), a-čēn (<a bačēn)
ā	a												но, а	wúz-at Tulů́m-šō-yām sat tar bōγ sáyli, ā Qurbůn-šṓ na čēmt я и Гулям-шо пошли погулять в сад, а Курбон-шо не захотел; mā́š-am aráy yax: yīw dḗw-i sīyṓ mi-ðúst, yīw dḗwi zard mi-ðúst, ā yí-ga dḗwi safḗd ðúst-and нас три сестры: одна в руках черного дива, одна о руках желтого дива, а еще одна в руках белого дива; уат čūpů́n nūst paryā́, ā mā́ð-ēn x̌ōvd пастух сел караулить, а они заснули; mu am-radī́f ōda- mên-ēn γal ǰiwů́n, ū wúz-um pīr suǰ мои сверстники еще молоды, а я уже состарился	
a-čēn	ačen												ребята (обращение)	a-čēn, mu vōrǰ-ēt wīnt? ребята, видели мою лошадь? a-čēn gā waxt ba ǰōyi a-rōdā́r mis lůven “a-čēn” говорят иногда также вместо “a-rōdā́r”; a-čēn, tíyēt tar sūr! ребята, идите на свадьбу! (= a-rōdā́r, tíyēt tar sūr!)	
a-ða	aða												друг, приятель, парень (обращение)	a-ða, saw, wi půst ažếr, sār tu pêxến ancā́m иди-ка, парень, намочи кожу, завтра я буду шить тебе сапоги.	
a-lā	ala												обращение	a-lā, tarůd ya! эй, иди сюда!	
a-lō	alo												обращение девушек или женщин друг к другу	"a-lō, ya kōr kinā́m! иди, девушка, будем работать! „a-lṓ“-ta bēx̌dí kaxōyḗn lů́vēn „a-lō"" большей частью употребляют женщины"	
a-rō	aro,arodar,arodar	a-rōdā́r										a-rōdā́r	обращение к равному	a-rōdā́r, tí- yēt xurṓk xīd! товарищи, идите обедать!	 (< a vrṓd)
ābarōbár	abarobar												сразу же, тут же	mu vōrǰ ricū́st xu, wúz-um ābarōbár wi anǰū́vd моя лошадь убежала было, но я сразу же ее поймал	
abī́b	abib												название дикорастущего цветка	gulik abī́b, ca gul abī́b! цветочек “abī́b”, что за цветок “abī́b”!	(поэт.)
abī́n	abin,abinorj											abī́nōrǰ	жена человека, имеющего несколько жен (по отношению к его другим женам)	tamá-ta abī́nōrǰ dastū́r ðêdêt вы ссоритесь, точно жены одного мужа; tund abī́n yast yō nāy? у твоего мужа есть еще жены?	
abī́ndṓr	abindor												жена человека, имеющего несколько жен	tu-t abī́ndṓr yō nāy? — wuz-um abī́ndṓr у твоего мужа есть еще жены? — да, есть	
ablā́	abla												глупец, глупый; дурак, дурень		
ablagí	ablagi												глупость, дурость		
abṓz	aboz,aboxt,abezd,aboxč,abextow			abṓx̌t			abêzd	abṓx̌č			abêx̌tṓw		глотать		
abrát 	abrat 												обман		
abrát ðêdṓw	abrat ðedow												обманывать	abrát-i mu ðōd он меня обманул	
ábri	abri												облако, туча		
abridáx	abridax												облачный, пасмурный	nur abridáx сегодня облачно; wuz ik-mi abridáx-and tar kā sā́wum? куда я пойду, когда так пасмурно?	
abūbā́k	abubak												удод		
ač	ač												сколько-нибудь, несколько, кое-что	yu-ta ač as tu xabardōri kix̌t? он иногда о тебе осведомляется? (он сколько-нибудь тобой интересуется?)	
ač-ga	ačga												что-нибудь, кое-что; иногда; больше не… , совсем не…	ač-ga-ta vīrt? он иногда приносит что-нибудь? ač-ga-na vīrt больше совсем не приносит	
ačaθ	ačaθ,aččaθ	aččaθ											ничто, ничего, вовсе не… , совсем не… 	ačaθ-um xu dōd na wīnt я совсем не видел своего отца	
ād	ad												граница		
ād	ad												договор, обязательство	mu ād pur sut мое обязательство выполнено	
ād čīdṓw	ad čidow												заключить договор, договориться, обязаться		
adáb	adab												благонравие, вежливость, учтивость		
adā́x̌c	adaxc												железная деталь движущего устройства мельницы, в форме короткого бруска с отверстием посередине		
ádli	adli,alli,ali	álli, áli											как раз, прямо	ádli wam cēm-and-um ðod я ударил её прямо в глаз; ádli wam cēm-and angixt попало ей прямо в глаз; álli ik-důnd-důnd как раз вот столько	
adōlat	adolat												справедливость		
ā́dris	adris												адрес		
afáγ̌ 	afaγ̌ 												послезавтра		
aflaqā́	aflaqa												слишком широкий, просторный, болтающийся (о кольцах, наперстке, обуви, воротнике и т. п.)	yam čillā mu angíx̌t-ard aflaqā́ это кольцо слишком широко для моего пальца	
aflṓq	afloq												на босу ногу, без чулок	mu pêx murd aflṓq у меня сапоги на босу ногу	
afsū́s	afsus												о горе! увы!		
aftā́	afta												неделя		
aftamubī́l	aftamubil												автомобиль		(нов.)
aftayí	aftayi												недельный		
afyū́n	afyun												опий		
afyūní	afyuni												опиист		
agá	aga,agar	agár											если		
agā́	aga												пробужденный, проснувшийся, бодрствующий		
agā́ čīdṓw	aga čidow												будить		
agā sittṓw	aga sittow												проснуться		 (нов.)
aga-či	agači												побудка	tu aga-či murd xuš na yat мне не понравилось, как ты меня будишь	
agar ca	agar ca												если		
agranů́m	agranum												агроном		
āǰ	aj												паломничество	ba (h)aǰ sittōw отправляться в паломничество	
aǰáb	ajab												удивительный, удивительно	tu-t aǰáb bēáqli! какой ты глупый! núr-um sut pi pux̌tā́ didi, pádam ik-dů́nd lap wūrǰ yast, yu dalī́laθ nay! māš vazḗn ca na xēn aǰáb-i! я сегодня ходил на горы, там столько волков, что мочи нет! удивительно будет, если они не поедят наших коз; pōygā́ diwḗnt-and mu vōrǰ pirṓ ca na ðēd aǰáb-i удивительно, если на скачках моя лошадь не будет впереди	
aǰál	ajal												смерть, кончина	aǰál ca yōðd, yíčê-θ na pēx̌st смерть придет, ни о чем не спросит	
aǰinā́	ajina												злой дух, джин		
aǰōyíb	ajoyib												удивительный, интересный	xabári aǰōyíb ca vēd, wuz vō turd nivíšum если будут интересные новости, я опять тебе напишу	
akák	akak												дрожь (от холода, от страха)		
akák čīdṓw	akak čidow												дрожать		
akī́m	akim												врач		
aks	aks												страх		
aks čīdṓw	aks čidow												бояться, пугаться	falůní áks-i čūd xu, wi yếv-ard x̌ōǰ-ðūyǰ rů́y-i ðōðǰ такой-то испугался, и у него около рта появилась сыпь; „aks čīdṓw“ gā waxt „x̌ōǰ ðêrt“ ǰṓy-tīr lů́vēn иногда говорят „aks čīdṓw“, вместо „x̌ōǰ ðêrt“	
āl	al												мягкий, размягченный,размягчение	di šarθk āldí kin, yid pi dēwṓl na niðáfst разомни помягче глину, она не пристает к стене; as šīg γáθ-um di āldí čūγ̌ǰ я это сделал мягче, чем испражнения теленка (= наилучшим образом)	
āl sitṓw	al sitow												размягчаться (о глине)		
al-amdu-l-illō	alamdulillo												слава богу!		
ā́l-at-awṓl	alatawol,olatawol,olawol	ōl-at-awṓl, ōl-awṓl											положение, состояние, обстоятельства		
alā	ala												говорят, будто (бы), де, дескать, мол	yu alā ar tāx ðōd он будто бы разбился в горах; yu alá mūd говорят, он умер; falůní alá (= nālá) yaθč говорят, такой-то приехал (= as falůni-ta lů́vēn yu yaθč)	
aláf	alaf												трава, сено		
alafzṓr	alafzor												луг, поле		
alaláš	alalaš												смесь, смешение	беспорядок, ералаш, хаос	
alaláš čīdṓw	alalaš čidow												смешивать, перемешивать, примешивать		
alám	alam												печаль, горе	wird alám yat xu, bād dar nīwd sut ему взгрустнулось, и он принялся плакать	
alamí	alami												печальный, удрученный	mu dōd mūγ̌ǰ xu, wúz-um lap alamếθ  y меня умер отец, и я очень горюю; a-rō, tu pi di mā raf, yid alamḗθ ты не трогай его, он очень удручен	
albát	albat												наверное, вероятно, должно быть	ik-tā́m wird albát panǰṓ sōl súðǰat должно быть, ему уже исполнилось пятьдесят лет.	
albáttā	albatta												конечно, несомненно		
ā́li xalq	ali xalq												народ, общество	ali xalq nīstōw быть окруженным большим обществом, свитой (=xalq dar mobēn nīstōw)	
alíf	alif												алиф (название первой буквы арабск. алфавита); черта, прямая линия		
alifbế	alifbe												букварь, азбука, алфавит		
allā́	alla												пестрый (о лошади)	vōrǰ didi safḗd vēd, ā wi dā́m-va têr ca vēd, wí-ta allā́ lů́vēn если лошадь белая, а на спине черные пятна, ее называют „alla“	
allṓz	alloz,aloz	alṓz											прыжок, скачок		
allṓz čīdṓw	alloz čidow												прыгнуть	wam wêð tar-tīr ́ik-dů́nd xax̌ alṓz čūd didi... он с такой силой перепрыгнул через арык, что..	
almastí	almasti												злой дух, альмастэ		
almṓs	almos												алмаз, бриллиант		
alō-áwli	aloawli												как не стыдно! какой стыд!		
alō-áwli čīdṓw	aloawli čidow												стыдиться, стесняться (своего дурного поведения)	alō-áwli kinḗt! постыдитесь! побойтесь бога! (воздержитесь от постыдного поступка!)	
alṓk	alok												гибель, погибель, уничтожение		
alṓk čīdṓw	alok čidow												губить		
alṓk sittṓw	alok sittow												гибнуть		
alōkát	alokat												гибель, погибель		
alṓl	alol												правдивый, честный, праведный, добросовестный; разрешенный, допущенный, законный		
alṓl čīdṓw	alol čidow												зарезать животное (особенно искалеченное или больное) так, чтобы оно было пригодно в пищу		
alōlkṓr	alolkor												добросовестный, честный		
alōqā́	aloqa												пара подков		
alōqā́	aloqa												связь, отношение		
