rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
абажур	абажӯр				м		
абортивный	мӯɣ̌бацӯрм						
абрикос	нош				ж		
абрикосовый	ношин						
абсурдный	бемāнӣ, бемāнай						
авангард	пеx̌раw						
аванс	авāнц				м		
авария	авāр				м		
август	āwгӯст				ж		
авиация	ави(й)āц(ийа)				м/ж		
авось	ног(ин), ног вид						
автоматический	худ-ба-худ						
автомобиль	афтамубӣл, мошӣн				ж		
автономия	(худ)мухтор				м		
автономность	мухторият				м		
автор	ниwесандā						
агент	агент				м/ж		
агитатор	агитāтур				м/ж		
агитаторский	агитāтури						
агония	jẏнтанози				м		
аграрный	зироати, дêqẏни						
агрессор	уjӯмгāр, дуx̌ман				м		
агрессор	уjӯмгāр, дуx̌ман				м		
агроном	агранẏм				м/ж		
агрономический	агранẏми						
ад	дӯзах, фин(н)ор				м		
ажурный	чāч						
азан	озẏн				м		
азбука	алифбо				м		
аист	jаɣā, jиɣāй				ж		
академик	академик				м/ж		
академия	академийā				м/ж		
акать	машẏ-машẏ (кин)						
аккуратно	созаθ, башāнд(аθ)						
аккуратный	батартӣб, интизẏмдор, сириx̌тадор						
акробат	дорбоз						
акробатика	дорбози				м		
аксакал	аqсаqол				м		
акт	āкт, айбнẏмā				ж		
актив	актӣв м, фуол м/ж						
активный	фуол, бевиноw						
алиф	алиф				м/ж		
алкоголь	шароб ж, мастийӯна м/ж						
аллах	улло, хуðой				м		
алмаз	алмос				ж		
алоча (ткань)	алочā, фидойи						
алыча	олӯчā, олболи				ж		
альбом	албẏм				ж		
альпинист	алпинӣст				м		
алюминиевый	алйумӣнин						
алюминий	алйумӣн				м		
амбиция	ɣурӯр, номӯс				м		
амбулатория	духтур-хẏнā				м		
амин	омӣн						
амулет	тамор, йекал				ж		
анализ	сêqил, сайqил, тāлӣл						
анатомировать	чоqẏн:чоqẏнт						
анаша	нашā, афйӯн				м		
ангел	фириx̌тā				м		
ангина	нойдāрð, ангӣна				м		
английский	англӣси, ангирези						
анекдот	назӣр, латӣфā				ж		
анекдот	назӣр, латӣфā				ж		
аннулировать	соqит ч. (кин)						
анонимный	беимзо						
ансамбль	ансāмбил				м		
аплодисменты	чапак, x̌икẏф						
апологет	маддогӯй						
аппарат	апарāт				ж		
аппетит	иштийо, заwq				м		
аппетитный	форум, хахжхӣтхм						
апрель	апрел				ж		
аптека	аптек, дорихẏнā				ж		
араб	араб						
арабист	арабшинос						
арабский	араби						
арба	аробā				ж		
арбакеш	аробакаx̌						
арбуз	тарбуз				м		
аренда	иjорā				м/ж		
арест	банд, заwлẏнā						
арестант	банди, бандẏн				м/ж		
арестовать	банд ч. (кин); бизӣн: бизӣд						
арифметика	а/исоб				м/ж		
арка	арк ж, дарвозā м/ж						
армия	āрмия, лиx̌кар				м		
армянин	армани				м/ж		
аромат	бẏй, хушбẏйи				м		
аромат	бẏй м, хушбẏйи						
ароматный	хушбẏй						
арсенал	тӯпхӯнā				ж		
артачиться	пандал (патрā) ð. (ðи: ðод)						
артель	артел				ж		
артерия	рāг(ат пай)				м		
артерия	рāг(ат пай)				м		
артиллерист	поθ-wеðӣj м, тӣрандоз м/ж						
артист	артӣст				м/ж		
артистический	артӣсти						
артистка	артӣст(ка)				ж		
археолог	архийолог				м/ж		
археология	архийологийа				ж		
архив	архӣв				м/ж		
архитектор	архитектур				м/ж		
арчевый	амбаx̌цин	амбêx̌цин					
аршин	гāз, qилоч				м		
астма	кêхак				м		
астматик	кêхакин						
астрология	ниjӯм				м/ж		
астроном	муноjим				м/ж		
асфальт	qир, асфāлт				м		
